,pianist,track,duration,album,composition,setting,split
20,Chick Corea,pijama/coreac-soinlovelive-unaccompanied-xxxx-2fudtuvh,494.19921875,Chick Corea (Solo Piano   Standards),so in love,solo,train
21,Stanley Cowell,pijama/cowells-imagine-unaccompanied-xxxx-bg7kdmra,367.1796875,Stanley Cowell (Angel Eyes),imagine,solo,train
22,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-ot00k5a7,484.95963541666663,Abdullah Ibrahim (Dream Time),blues for a hip king,solo,train
23,Brad Mehldau,pijama/mehldaub-hollandlive-unaccompanied-xxxx-bmxdtzz5,666.0,Brad Mehldau (10 Years Solo Live),holland,solo,train
24,Kenny Barron,pijama/barronk-rhythmaning-unaccompanied-xxxx-gonnosvb,342.8359375,Kenny Barron (At The Piano),rhythmaning,solo,train
25,Chick Corea,pijama/coreac-childrenssong2-unaccompanied-xxxx-fs9zu0u9,46.694010416666664,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
26,Teddy Wilson,pijama/wilsont-atsundown-unaccompanied-xxxx-znl1k7uv,151.51953125,Teddy Wilson (Solo Piano  The Keystone Transriptions),at sundown,solo,train
27,Kenny Barron,pijama/barronk-misterioso-unaccompanied-xxxx-jfynjlxf,464.8359375,Kenny Barron (At The Piano),misterioso,solo,train
28,Brad Mehldau,pijama/mehldaub-smellsliketeenspiritlive-unaccompanied-xxxx-n83mzqpg,571.51953125,Brad Mehldau (10 Years Solo Live),smells like teen spirit,solo,train
29,Brad Mehldau,pijama/mehldaub-newyorkstateofmind-unaccompanied-xxxx-yali5f0z,182.953125,Brad Mehldau (Suite   April 2020),new york state of mind,solo,train
30,Kenny Drew,pijama/drewk-bluesfornils-unaccompanied-xxxx-xtqd50ha,257.72916666666663,Kenny Drew (SoloDuo),blues for nils,solo,train
31,Brad Mehldau,pijama/mehldaub-brahmsintermezzoine-unaccompanied-xxxx-0s3n0c1z,305.9296875,Brad Mehldau (10 Years Solo Live),brahms intermezzo in e minor op,solo,train
32,Chick Corea,pijama/coreac-pastimeparadiseliveinclearwater-unaccompanied-xxxx-in1te2j7,355.88932291666663,Chick Corea (Plays),pastime paradise,solo,train
33,Abdullah Ibrahim,pijama/ibrahima-sothoblue-unaccompanied-xxxx-ccvw5b07,219.98958333333331,Abdullah Ibrahim (Dream Time),sotho blue,solo,train
34,McCoy Tyner,pijama/tynerm-sweetandlovelyliveat-unaccompanied-xxxx-pgm3wukp,235.26953125,McCoy Tyner (Things Aint What They Used To Be Live),sweet and lovely,solo,train
35,Oscar Peterson,pijama/petersono-taketheatrainlive-unaccompanied-xxxx-wsnu3na0,156.515625,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),take the a train,solo,train
36,Teddy Wilson,pijama/wilsont-bodyandsoul-unaccompanied-xxxx-g4mg4vj5,279.9895833333333,Teddy Wilson (Alone),body and soul,solo,train
37,Brad Mehldau,pijama/mehldaub-myfavoritethingslive-unaccompanied-xxxx-shb08hyd,356.859375,Brad Mehldau (Live in Marciac),my favorite things,solo,train
38,Abdullah Ibrahim,pijama/ibrahima-thesongismystory-unaccompanied-xxxx-8jfjv6z9,89.39713541666666,Abdullah Ibrahim (The Song Is My Story),the song is my story,solo,train
39,Bill Evans,pijama/evansb-onacleardayyoucan-unaccompanied-xxxx-aqgg32qc,285.45963541666663,Bill Evans (Alone),on a clear day,solo,train
40,Abdullah Ibrahim,pijama/ibrahima-senzocontoursandtime-unaccompanied-xxxx-q9v1a1y4,149.98958333333331,Abdullah Ibrahim (Senzo),senzo contours and time,solo,train
41,Oscar Peterson,pijama/petersono-airmailspecial-unaccompanied-xxxx-xtaip7mq,109.15885416666666,Oscar Peterson (1951),i got rhythm,solo,train
42,Oscar Peterson,pijama/petersono-justyou-unaccompanied-xxxx-zbcnh2jc,117.55729166666666,Oscar Peterson (1951),just you just me,solo,train
43,Brad Mehldau,pijama/mehldaub-x-unaccompanied-xxxx-bpnhdowm,174.43880208333331,Brad Mehldau (Suite   April 2020),x,solo,train
44,Stanley Cowell,pijama/cowells-djangoliveatmaybeckrecital-unaccompanied-xxxx-wpmudba3,372.69010416666663,Stanley Cowell (The Maybeck Recital Series Vol 5),django,solo,train
45,Keith Jarrett,pijama/jarrettk-bemylove-unaccompanied-xxxx-momx9xt2,333.83984375,Keith Jarrett (The Melody At Night With You),be my love,solo,train
46,Kenny Barron,pijama/barronk-heresthatrainyday-unaccompanied-xxxx-3qttb5mn,489.71875,Kenny Barron (Peruvian Blue),heres that rainy day,solo,train
47,Abdullah Ibrahim,pijama/ibrahima-eclipseatdawn-unaccompanied-xxxx-cal9yv7p,118.93619791666666,Abdullah Ibrahim (The Song Is My Story),eclipse at dawn,solo,train
48,Geri Allen,pijama/alleng-flyingtowardthesound-unaccompanied-xxxx-vtcchokf,359.21875,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),flying toward the sound,solo,train
49,McCoy Tyner,pijama/tynerm-thingsaintwhattheyusedto-unaccompanied-xxxx-ifpioy0p,230.39973958333331,McCoy Tyner (Things Aint What They Used To Be Live),things aint what they used to be,solo,train
50,Chick Corea,pijama/coreac-roundmidnight-unaccompanied-xxxx-kmywk6th,479.86979166666663,Chick Corea (Solo Piano   Portraits),round midnight,solo,train
51,Kenny Barron,pijama/barronk-imgettingsentimentaloveryou-unaccompanied-xxxx-gnhpp6nj,424.609375,Kenny Barron (Live At Maybeck Recital Hall Volume 10),im getting sentimental over you,solo,train
52,Geri Allen,pijama/alleng-dancingmysticpoetsatmidnight-unaccompanied-xxxx-3h5svr7o,259.0989583333333,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),dancing mystic poets at midnight,solo,train
53,Abdullah Ibrahim,pijama/ibrahima-blueboleroblueboleroi-unaccompanied-xxxx-4aigo4z0,162.5,Abdullah Ibrahim (Dream Time),blue bolero,solo,train
54,Teddy Wilson,pijama/wilsont-medley-unaccompanied-xxxx-baleeoro,218.94401041666666,Teddy Wilson (Marian McPartlands Piano Jazz Radio Broadcast),medley,solo,train
55,McCoy Tyner,pijama/tynerm-aftertherain-unaccompanied-xxxx-fucl2j5l,226.38932291666666,McCoy Tyner (Soliloquy),after the rain,solo,train
56,Tommy Flanagan,pijama/flanagant-rubymydear-unaccompanied-xxxx-mzmrfj9e,179.109375,Tommy Flanagan (Solo Piano),ruby my dear,solo,train
57,Chick Corea,pijama/coreac-childrenssong5-unaccompanied-xxxx-ecvpalwo,68.37630208333333,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
58,Cedar Walton,pijama/waltonc-littledarlin-unaccompanied-xxxx-a0c98c6x,322.0546875,Cedar Walton (Blues For Myself Piano Solo),lil darlin,solo,train
59,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-8hee4q93,668.5559895833333,Keith Jarrett (Paris  London Testament),pt,solo,train
60,John Hicks,pijama/hicksj-uppermanhattanmedicalgrouprecorded-unaccompanied-xxxx-zqxlnsp0,249.98958333333331,John Hicks (I Remember You Recorded Live in Concert 2006),upper manhattan medical group,solo,train
61,Oscar Peterson,pijama/petersono-nightandday-unaccompanied-xxxx-8y7ji9w1,218.52473958333331,Oscar Peterson (1951),night and day,solo,train
62,Geri Allen,pijama/alleng-roundmidnight-unaccompanied-xxxx-x8i9dmlu,367.6458333333333,Geri Allen (Home Grown),round midnight,solo,train
63,Cedar Walton,pijama/waltonc-ididntknowwhattimeit-unaccompanied-xxxx-kwpclday,307.12890625,Cedar Walton (The Maybeck Recital Series Vol 25),i didnt know what time it was,solo,train
64,Brad Mehldau,pijama/mehldaub-myfavoritethingslive-unaccompanied-xxxx-e7jt4ocx,733.3697916666666,Brad Mehldau (10 Years Solo Live),my favorite things,solo,train
65,Thelonious Monk,pijama/monkt-ihadntanyonetillyoutake-unaccompanied-xxxx-le6s4s1u,199.98958333333331,Thelonious Monk (Solo Monk),i hadnt anyone till you,solo,train
66,John Hicks,pijama/hicksj-solarrecordedliveinconcert-unaccompanied-xxxx-ulfvqcy2,525.44921875,John Hicks (I Remember You Recorded Live in Concert 2006),solar,solo,train
67,Cedar Walton,pijama/waltonc-undergroundmemoirs-unaccompanied-xxxx-jx9vgebx,346.4296875,Cedar Walton (Underground Memoirs),underground memoirs,solo,train
68,John Hicks,pijama/hicksj-reddsblues-unaccompanied-xxxx-b7buhfhv,249.47005208333331,John Hicks (Hicks Time),redds blues,solo,train
69,Abdullah Ibrahim,pijama/ibrahima-dustreprise-unaccompanied-xxxx-ytt4ml29,319.06901041666663,Abdullah Ibrahim (Senzo),dust,solo,train
70,Oscar Peterson,pijama/petersono-lulusbackintownlive-unaccompanied-xxxx-e4h1zrcp,124.30598958333333,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),lulus back in town,solo,train
71,Gene Harris,pijama/harrisg-myfunnyvalentineliveat-unaccompanied-xxxx-cnkmu2xp,389.29947916666663,Gene Harris (The Maybeck Recital Series Vol 23),my funny valentine,solo,train
72,Abdullah Ibrahim,pijama/ibrahima-pula-unaccompanied-xxxx-1vg3h1de,46.119791666666664,Abdullah Ibrahim (Solotude),pula,solo,train
73,Oscar Peterson,pijama/petersono-djangoremastered-unaccompanied-xxxx-ds74jokd,312.6809895833333,Oscar Peterson (Tracks Remastered),django,solo,train
74,Kenny Barron,pijama/barronk-budlike-unaccompanied-xxxx-smkfooir,360.8645833333333,Kenny Barron (At The Piano),budlike,solo,train
75,McCoy Tyner,pijama/tynerm-lonnieslament-unaccompanied-xxxx-7fjmat38,358.38932291666663,McCoy Tyner (Soliloquy),lonnies lament,solo,train
76,Abdullah Ibrahim,pijama/ibrahima-dreamtime-unaccompanied-xxxx-0zlu58u9,152.5,Abdullah Ibrahim (Solotude),dreamtime,solo,train
77,Abdullah Ibrahim,pijama/ibrahima-unfetteredmuken-unaccompanied-xxxx-wany2uqb,110.57942708333333,Abdullah Ibrahim (The Song Is My Story),unfettered muken,solo,train
78,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-rql0kv7k,68.61979166666666,Abdullah Ibrahim (Solotude),blues for a hip king,solo,train
79,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-0eh3quq3,287.5,Keith Jarrett (Paris  London Testament),pt,solo,train
80,Geri Allen,pijama/alleng-bemshaswing-unaccompanied-xxxx-d7c8bpdm,167.5625,Geri Allen (Home Grown),bemsha swing,solo,train
81,Junior Mance,pijama/mancej-igotitbadandthat-unaccompanied-xxxx-l2pl81m8,352.5,Junior Mance (Junior Mance Special),i got it bad,solo,train
82,Chick Corea,pijama/coreac-portrait1vilnius-unaccompanied-xxxx-5jkj57e0,158.359375,Chick Corea (Solo Piano   Portraits),portrait vilnius,solo,train
83,Thelonious Monk,pijama/monkt-dinahtake2-unaccompanied-xxxx-vlltdigq,145.67317708333331,Thelonious Monk (Solo Monk),dinah,solo,train
84,Stanley Cowell,pijama/cowells-illrememberaprilliveat-unaccompanied-xxxx-scr8cssn,298.4192708333333,Stanley Cowell (The Maybeck Recital Series Vol 5),ill remember april,solo,train
85,Stanley Cowell,pijama/cowells-akua-unaccompanied-xxxx-hjb4poiv,405.71875,Stanley Cowell (Angel Eyes),akua,solo,train
86,Tommy Flanagan,pijama/flanagant-isntitromantic-unaccompanied-xxxx-ni9y5wer,213.53645833333331,Tommy Flanagan (Solo Piano),isnt it romantic,solo,train
87,John Hicks,pijama/hicksj-nuttyrecordedliveinconcert-unaccompanied-xxxx-4kw29xti,518.58984375,John Hicks (I Remember You Recorded Live in Concert 2006),nutty,solo,train
88,Chick Corea,pijama/coreac-duetcharleslive-unaccompanied-xxxx-gh58cbwe,184.68880208333331,Chick Corea (Plays),duet charles,solo,train
89,Oscar Peterson,pijama/petersono-gypsyinmysoul-unaccompanied-xxxx-55pr8aqz,178.48958333333331,Oscar Peterson (1951),gypsy in my soul,solo,train
90,Abdullah Ibrahim,pijama/ibrahima-africandawn-unaccompanied-xxxx-jmv6zr2p,34.859375,Abdullah Ibrahim (The Song Is My Story),african dawn,solo,train
91,John Hicks,pijama/hicksj-everytimewesaygoodbyerecorded-unaccompanied-xxxx-r9q1guek,407.83984375,John Hicks (I Remember You Recorded Live in Concert 2006),everytime we say goodbye,solo,train
92,Kenny Barron,pijama/barronk-budlikeliveatmaybeckrecital-unaccompanied-xxxx-mkhwqz3b,339.9895833333333,Kenny Barron (Live At Maybeck Recital Hall Volume 10),budlike,solo,train
93,Chick Corea,pijama/coreac-childrenssong12-unaccompanied-xxxx-2y5r8qel,342.5,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
94,Abdullah Ibrahim,pijama/ibrahima-machopi-unaccompanied-xxxx-5k6f4ehv,8.786458333333332,Abdullah Ibrahim (Dream Time),machopi,solo,train
95,Chick Corea,pijama/coreac-portrait1krakow-unaccompanied-xxxx-smkbo86z,140.33984375,Chick Corea (Solo Piano   Portraits),portrait krakow,solo,train
96,Oscar Peterson,pijama/petersono-placest-unaccompanied-xxxx-881lbe9v,111.609375,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),place st,solo,train
97,Hank Jones,pijama/jonesh-alonetogether-unaccompanied-xxxx-kq9fuk56,208.13151041666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),alone together,solo,train
98,Chick Corea,pijama/coreac-improv1howdeepis-unaccompanied-xxxx-1fpopnlq,508.9388020833333,Chick Corea (Solo Piano   Portraits),how deep is the ocean,solo,train
99,Oscar Peterson,pijama/petersono-byebyeblackbirdlive-unaccompanied-xxxx-4srhkrg8,290.41666666666663,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),bye bye blackbird,solo,train
100,Oscar Peterson,pijama/petersono-sweetgeorgiabrownlive-unaccompanied-xxxx-ka2uct36,271.20963541666663,Oscar Peterson (Solo),sweet georgia brown,solo,train
101,McCoy Tyner,pijama/tynerm-songformyladylive-unaccompanied-xxxx-h3g6eqgm,387.11979166666663,McCoy Tyner (Things Aint What They Used To Be Live),song for my lady,solo,train
102,Stanley Cowell,pijama/cowells-iamwaitingliveat-unaccompanied-xxxx-udngiup7,354.7161458333333,Stanley Cowell (The Maybeck Recital Series Vol 5),i am waiting,solo,train
103,Oscar Peterson,pijama/petersono-ifishouldloseyou-unaccompanied-xxxx-0zsyyw9t,316.5130208333333,Oscar Peterson (Tracks Remastered),if i should lose you,solo,train
104,Abdullah Ibrahim,pijama/ibrahima-thirdlinesamba-unaccompanied-xxxx-29d839q2,133.45963541666666,Abdullah Ibrahim (Senzo),third line samba,solo,train
105,Cedar Walton,pijama/waltonc-stellabystarlightliveat-unaccompanied-xxxx-f6keh2s7,351.4296875,Cedar Walton (The Maybeck Recital Series Vol 25),stella by starlight,solo,train
106,Brad Mehldau,pijama/mehldaub-monksmoodlive-unaccompanied-xxxx-3nxy3ksz,279.79947916666663,Brad Mehldau (10 Years Solo Live),monks mood,solo,train
107,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-hjtx4fi8,222.51953125,Chick Corea (Plays),childrens song,solo,train
108,Brad Mehldau,pijama/mehldaub-johnboylive-unaccompanied-xxxx-swwxkp4b,212.04947916666666,Brad Mehldau (10 Years Solo Live),john boy,solo,train
109,Geri Allen,pijama/alleng-redvelvetinwinter-unaccompanied-xxxx-lwgiwjp3,351.1731770833333,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),red velvet in winter,solo,train
110,Abdullah Ibrahim,pijama/ibrahima-onceuponamidnight-unaccompanied-xxxx-qwglbzku,387.7734375,Abdullah Ibrahim (Solotude),once upon a midnight,solo,train
111,Chick Corea,pijama/coreac-bagatelle2-unaccompanied-xxxx-rv9ktp1k,207.5,Chick Corea (Solo Piano   Portraits),bagatelle,solo,train
112,Brad Mehldau,pijama/mehldaub-godonlyknowslive-unaccompanied-xxxx-947h2grd,1003.62890625,Brad Mehldau (10 Years Solo Live),god only knows,solo,train
113,Cedar Walton,pijama/waltonc-sophisticatedlady-unaccompanied-xxxx-0l2jozo8,343.26953125,Cedar Walton (Underground Memoirs),sophisticated lady,solo,train
114,Teddy Wilson,pijama/wilsont-sugar-unaccompanied-xxxx-6ito7etr,172.5,Teddy Wilson (Solo Piano  The Keystone Transriptions),sugar,solo,train
115,Cedar Walton,pijama/waltonc-somedaymyprincewillcome-unaccompanied-xxxx-tv5sspsa,276.8489583333333,Cedar Walton (Underground Memoirs),someday my prince will come,solo,train
116,Hank Jones,pijama/jonesh-whatamiherefor-unaccompanied-xxxx-8a5bkfyn,217.27994791666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),what am i here for,solo,train
117,Kenny Barron,pijama/barronk-bodyandsoul-unaccompanied-xxxx-p5g8xdd1,417.51171875,Kenny Barron (At The Piano),body and soul,solo,train
118,Teddy Wilson,pijama/wilsont-tuesdayjump-unaccompanied-xxxx-v62griki,144.21875,Teddy Wilson (Solo Piano  The Keystone Transriptions),tuesday jump,solo,train
119,Oscar Peterson,pijama/petersono-themanilove-unaccompanied-xxxx-ici83edm,159.4296875,Oscar Peterson (1951),the man i love,solo,train
120,Abdullah Ibrahim,pijama/ibrahima-threshold-unaccompanied-xxxx-h51vu9rw,187.5,Abdullah Ibrahim (The Song Is My Story),threshold,solo,train
121,Brad Mehldau,pijama/mehldaub-teardroplive-unaccompanied-xxxx-4st4myro,853.4791666666666,Brad Mehldau (10 Years Solo Live),teardrop,solo,train
122,Oscar Peterson,pijama/petersono-perdidolive-unaccompanied-xxxx-8im5k4c3,370.61979166666663,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),perdido,solo,train
123,Thelonious Monk,pijama/monkt-everythinghappenstomeretake1-unaccompanied-xxxx-zmp9tiig,316.37369791666663,Thelonious Monk (Solo Monk),everything happens to me,solo,train
124,Hank Jones,pijama/jonesh-bluemonkliveatmaybeck-unaccompanied-xxxx-f2ike104,283.8098958333333,Hank Jones (Live At Maybeck Recital Hall Vol 16),blue monk,solo,train
125,Brad Mehldau,pijama/mehldaub-secretlovelive-unaccompanied-xxxx-r2it9fug,432.54947916666663,Brad Mehldau (Live in Marciac),secret love,solo,train
126,Brad Mehldau,pijama/mehldaub-imoldfashionedlive-unaccompanied-xxxx-029qs3vt,322.5,Brad Mehldau (10 Years Solo Live),im old fashioned,solo,train
127,Chick Corea,pijama/coreac-yesterdaysliveinparis-unaccompanied-xxxx-i5qbl3s8,326.97916666666663,Chick Corea (Plays),yesterdays,solo,train
128,Stanley Cowell,pijama/cowells-softlyasinamorningsunrise-unaccompanied-xxxx-pj48uv6h,162.5,Stanley Cowell (The Maybeck Recital Series Vol 5),softly as in a morning sunrise,solo,train
129,Tommy Flanagan,pijama/flanagant-wail-unaccompanied-xxxx-40ur8u04,155.02994791666666,Tommy Flanagan (Solo Piano),i got rhythm,solo,train
130,Oscar Peterson,pijama/petersono-givemethesimplelife-unaccompanied-xxxx-83wt6mxc,236.06901041666666,Oscar Peterson (Tracks Remastered),give me the simple life,solo,train
131,Junior Mance,pijama/mancej-yanceyspecial-unaccompanied-xxxx-5zf7rp7t,312.4296875,Junior Mance (Junior Mance Special),yancey special,solo,train
132,Ahmad Jamal,pijama/jamala-landofdreams-unaccompanied-xxxx-wsetipx7,135.47916666666666,Ahmad Jamal (Ballades),land of dreams,solo,train
133,Abdullah Ibrahim,pijama/ibrahima-didyouhearthatsound-unaccompanied-xxxx-av2ul4bo,321.67447916666663,Abdullah Ibrahim (Did You Hear That Sound),did you hear that sound,solo,train
134,Thelonious Monk,pijama/monkt-sweetandlovelytake1-unaccompanied-xxxx-gsz3i0ac,194.55729166666666,Thelonious Monk (Solo Monk),sweet and lovely,solo,train
135,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-e0phax3x,552.5,Keith Jarrett (Paris  London Testament),pt,solo,train
136,Hank Jones,pijama/jonesh-bluesetteliveatmaybeckrecital-unaccompanied-xxxx-ske6c0fu,187.91927083333331,Hank Jones (Live At Maybeck Recital Hall Vol 16),bluesette,solo,train
137,Teddy Wilson,pijama/wilsont-stompinatthesavoy-unaccompanied-xxxx-cgfwx295,128.29947916666666,Teddy Wilson (Marian McPartlands Piano Jazz Radio Broadcast),stompin at the savoy,solo,train
138,Cedar Walton,pijama/waltonc-themaybeckbluesliveat-unaccompanied-xxxx-h324vz7q,233.79947916666666,Cedar Walton (The Maybeck Recital Series Vol 25),the maybeck blues,solo,train
139,Oscar Peterson,pijama/petersono-someonetowatchoverme-unaccompanied-xxxx-607wdrey,251.94921875,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),someone to watch over me,solo,train
140,Geri Allen,pijama/alleng-dancingmysticpoetsatdawn-unaccompanied-xxxx-8jyumey5,336.6497395833333,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),dancing mystic poets at dawn,solo,train
141,Hank Jones,pijama/jonesh-thejitterbugwaltzinstrumental-unaccompanied-xxxx-q8wrraio,216.859375,Hank Jones (Handful Of Keys),jitterbug waltz,solo,train
142,Brad Mehldau,pijama/mehldaub-paranoidandroid-unaccompanied-xxxx-bcembqll,1152.5,Brad Mehldau (Live in Tokyo),paranoid android,solo,train
143,John Hicks,pijama/hicksj-speaklowliveatmaybeck-unaccompanied-xxxx-hk6qd5tm,298.0598958333333,John Hicks (The Maybeck Recital Series Vol 7),speak low,solo,train
144,Brad Mehldau,pijama/mehldaub-thingsbehindthesunlive-unaccompanied-xxxx-seykah5j,469.9895833333333,Brad Mehldau (Live in Marciac),things behind the sun,solo,train
145,Teddy Wilson,pijama/wilsont-sophisticatedlady-unaccompanied-xxxx-s9y05zx3,116.59895833333333,Teddy Wilson (Alone),sophisticated lady,solo,train
146,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-n0tidv4j,632.5,Keith Jarrett (Paris  London Testament),pt,solo,train
147,Chick Corea,pijama/coreac-childrenssong3-unaccompanied-xxxx-be1knaf7,70.91927083333333,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
148,Stanley Cowell,pijama/cowells-littlesunnyliveatmaybeck-unaccompanied-xxxx-9a6mjzcm,249.98958333333331,Stanley Cowell (The Maybeck Recital Series Vol 5),little sunny,solo,train
149,Chick Corea,pijama/coreac-portrait2casablanca-unaccompanied-xxxx-eewiosu3,89.71875,Chick Corea (Solo Piano   Portraits),portrait casablanca,solo,train
150,McCoy Tyner,pijama/tynerm-espanola-unaccompanied-xxxx-wujtslcm,235.82942708333331,McCoy Tyner (Soliloquy),espanola,solo,train
151,Hank Jones,pijama/jonesh-pleasedonttalkaboutmewhen-unaccompanied-xxxx-5wmnpx1x,168.51953125,Hank Jones (Handful Of Keys),please dont talk about me when im gone,solo,train
152,Chick Corea,pijama/coreac-prelude2op-unaccompanied-xxxx-bjf65isk,317.6796875,Chick Corea (Solo Piano   Portraits),prelude op,solo,train
153,Chick Corea,pijama/coreac-portrait2eastonmaryland-unaccompanied-xxxx-1fih9j8k,132.72916666666666,Chick Corea (Solo Piano   Portraits),portrait easton maryland,solo,train
154,Abdullah Ibrahim,pijama/ibrahima-pula-unaccompanied-xxxx-lrjaa8jo,92.86979166666666,Abdullah Ibrahim (Senzo),pula,solo,train
155,Cedar Walton,pijama/waltonc-sixthavenue-unaccompanied-xxxx-6c6slzt0,228.43229166666666,Cedar Walton (Blues For Myself Piano Solo),sixth avenue,solo,train
156,Brad Mehldau,pijama/mehldaub-lostchordslive-unaccompanied-xxxx-iao64lmi,563.2903645833333,Brad Mehldau (10 Years Solo Live),lost chords,solo,train
157,Hank Jones,pijama/jonesh-sophisticatedlady-unaccompanied-xxxx-uyqszqs3,154.31380208333331,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),sophisticated lady,solo,train
158,John Hicks,pijama/hicksj-blueingreenliveat-unaccompanied-xxxx-8387ai0w,343.58984375,John Hicks (The Maybeck Recital Series Vol 7),blue in green,solo,train
159,Oscar Peterson,pijama/petersono-oldfolks-unaccompanied-xxxx-a85xxvpg,210.46223958333331,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),old folks,solo,train
