,pianist,track,duration,album,composition,setting,split
20,Oscar Peterson,pijama/petersono-achildisbornremastered-unaccompanied-xxxx-2cemetum,153.47005208333331,Oscar Peterson (Tracks Remastered),a child is born,solo,train
21,Brad Mehldau,pijama/mehldaub-goodbyestorytellerforfredmyrow-unaccompanied-xxxx-939jcz08,456.2591145833333,Brad Mehldau (Live in Marciac),goodbye storyteller for fred myrow,solo,train
22,Chick Corea,pijama/coreac-soinlovelive-unaccompanied-xxxx-2fudtuvh,494.19921875,Chick Corea (Solo Piano   Standards),so in love,solo,train
23,Cedar Walton,pijama/waltonc-sweetlorraineliveatmaybeck-unaccompanied-xxxx-bry3cf0e,217.09244791666666,Cedar Walton (The Maybeck Recital Series Vol 25),sweet lorraine,solo,train
24,Kenny Barron,pijama/barronk-slowgrind-unaccompanied-xxxx-g4eolekw,314.32421875,Kenny Barron (Flight Path),slow grind,solo,train
25,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-ot00k5a7,484.95963541666663,Abdullah Ibrahim (Dream Time),blues for a hip king,solo,train
26,Brad Mehldau,pijama/mehldaub-hollandlive-unaccompanied-xxxx-bmxdtzz5,666.0,Brad Mehldau (10 Years Solo Live),holland,solo,train
27,Chick Corea,pijama/coreac-childrenssong2-unaccompanied-xxxx-fs9zu0u9,46.694010416666664,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
28,Teddy Wilson,pijama/wilsont-atsundown-unaccompanied-xxxx-znl1k7uv,151.51953125,Teddy Wilson (Solo Piano  The Keystone Transriptions),at sundown,solo,train
29,Hank Jones,pijama/jonesh-preludetoakiss-unaccompanied-xxxx-si8mokv4,236.97916666666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),prelude to a kiss,solo,train
30,Brad Mehldau,pijama/mehldaub-smellsliketeenspiritlive-unaccompanied-xxxx-n83mzqpg,571.51953125,Brad Mehldau (10 Years Solo Live),smells like teen spirit,solo,train
31,Brad Mehldau,pijama/mehldaub-newyorkstateofmind-unaccompanied-xxxx-yali5f0z,182.953125,Brad Mehldau (Suite   April 2020),new york state of mind,solo,train
32,Kenny Drew,pijama/drewk-bluesfornils-unaccompanied-xxxx-xtqd50ha,257.72916666666663,Kenny Drew (SoloDuo),blues for nils,solo,train
33,Brad Mehldau,pijama/mehldaub-brahmsintermezzoine-unaccompanied-xxxx-0s3n0c1z,305.9296875,Brad Mehldau (10 Years Solo Live),brahms intermezzo in e minor op,solo,train
34,Chick Corea,pijama/coreac-pastimeparadiseliveinclearwater-unaccompanied-xxxx-in1te2j7,355.88932291666663,Chick Corea (Plays),pastime paradise,solo,train
35,Abdullah Ibrahim,pijama/ibrahima-sothoblue-unaccompanied-xxxx-ccvw5b07,219.98958333333331,Abdullah Ibrahim (Dream Time),sotho blue,solo,train
36,McCoy Tyner,pijama/tynerm-sweetandlovelyliveat-unaccompanied-xxxx-pgm3wukp,235.26953125,McCoy Tyner (Things Aint What They Used To Be Live),sweet and lovely,solo,train
37,Teddy Wilson,pijama/wilsont-bodyandsoul-unaccompanied-xxxx-g4mg4vj5,279.9895833333333,Teddy Wilson (Alone),body and soul,solo,train
38,Brad Mehldau,pijama/mehldaub-myfavoritethingslive-unaccompanied-xxxx-shb08hyd,356.859375,Brad Mehldau (Live in Marciac),my favorite things,solo,train
39,Kenny Barron,pijama/barronk-aflower-unaccompanied-xxxx-30iyr8pg,407.76953125,Kenny Barron (Sunset To Dawn),a flower,solo,train
40,Abdullah Ibrahim,pijama/ibrahima-thesongismystory-unaccompanied-xxxx-8jfjv6z9,89.39713541666666,Abdullah Ibrahim (The Song Is My Story),the song is my story,solo,train
41,Teddy Wilson,pijama/wilsont-afteryouvegone-unaccompanied-xxxx-69wwv497,204.96875,Teddy Wilson (Alone),after youve gone,solo,train
42,Bill Evans,pijama/evansb-onacleardayyoucan-unaccompanied-xxxx-aqgg32qc,285.45963541666663,Bill Evans (Alone),on a clear day,solo,train
43,Chick Corea,pijama/coreac-thinkingofyoulive-unaccompanied-xxxx-uhh5vvu4,334.7109375,Chick Corea (Solo Piano   Standards),thinking of you,solo,train
44,Abdullah Ibrahim,pijama/ibrahima-senzocontoursandtime-unaccompanied-xxxx-q9v1a1y4,149.98958333333331,Abdullah Ibrahim (Senzo),senzo contours and time,solo,train
45,Oscar Peterson,pijama/petersono-airmailspecial-unaccompanied-xxxx-xtaip7mq,109.15885416666666,Oscar Peterson (1951),i got rhythm,solo,train
46,Oscar Peterson,pijama/petersono-justyou-unaccompanied-xxxx-zbcnh2jc,117.55729166666666,Oscar Peterson (1951),just you just me,solo,train
47,Brad Mehldau,pijama/mehldaub-x-unaccompanied-xxxx-bpnhdowm,174.43880208333331,Brad Mehldau (Suite   April 2020),x,solo,train
48,Stanley Cowell,pijama/cowells-djangoliveatmaybeckrecital-unaccompanied-xxxx-wpmudba3,372.69010416666663,Stanley Cowell (The Maybeck Recital Series Vol 5),django,solo,train
49,Keith Jarrett,pijama/jarrettk-bemylove-unaccompanied-xxxx-momx9xt2,333.83984375,Keith Jarrett (The Melody At Night With You),be my love,solo,train
50,Kenny Barron,pijama/barronk-heresthatrainyday-unaccompanied-xxxx-3qttb5mn,489.71875,Kenny Barron (Peruvian Blue),heres that rainy day,solo,train
51,Abdullah Ibrahim,pijama/ibrahima-eclipseatdawn-unaccompanied-xxxx-cal9yv7p,118.93619791666666,Abdullah Ibrahim (The Song Is My Story),eclipse at dawn,solo,train
52,McCoy Tyner,pijama/tynerm-thingsaintwhattheyusedto-unaccompanied-xxxx-ifpioy0p,230.39973958333331,McCoy Tyner (Things Aint What They Used To Be Live),things aint what they used to be,solo,train
53,Thelonious Monk,pijama/monkt-theresdangerinyoureyescherie-unaccompanied-xxxx-ozuu13ii,258.94921875,Thelonious Monk (Thelonious Alone In San Francisco),theres danger in your eyes cherie,solo,train
54,Chick Corea,pijama/coreac-roundmidnight-unaccompanied-xxxx-kmywk6th,479.86979166666663,Chick Corea (Solo Piano   Portraits),round midnight,solo,train
55,Abdullah Ibrahim,pijama/ibrahima-blueboleroblueboleroi-unaccompanied-xxxx-4aigo4z0,162.5,Abdullah Ibrahim (Dream Time),blue bolero,solo,train
56,McCoy Tyner,pijama/tynerm-aftertherain-unaccompanied-xxxx-fucl2j5l,226.38932291666666,McCoy Tyner (Soliloquy),after the rain,solo,train
57,Tommy Flanagan,pijama/flanagant-rubymydear-unaccompanied-xxxx-mzmrfj9e,179.109375,Tommy Flanagan (Solo Piano),ruby my dear,solo,train
58,Chick Corea,pijama/coreac-childrenssong5-unaccompanied-xxxx-ecvpalwo,68.37630208333333,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
59,Cedar Walton,pijama/waltonc-littledarlin-unaccompanied-xxxx-a0c98c6x,322.0546875,Cedar Walton (Blues For Myself Piano Solo),lil darlin,solo,train
60,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-8hee4q93,668.5559895833333,Keith Jarrett (Paris  London Testament),pt,solo,train
61,John Hicks,pijama/hicksj-uppermanhattanmedicalgrouprecorded-unaccompanied-xxxx-zqxlnsp0,249.98958333333331,John Hicks (I Remember You Recorded Live in Concert 2006),upper manhattan medical group,solo,train
62,Oscar Peterson,pijama/petersono-nightandday-unaccompanied-xxxx-8y7ji9w1,218.52473958333331,Oscar Peterson (1951),night and day,solo,train
63,Geri Allen,pijama/alleng-roundmidnight-unaccompanied-xxxx-x8i9dmlu,367.6458333333333,Geri Allen (Home Grown),round midnight,solo,train
64,Cedar Walton,pijama/waltonc-ididntknowwhattimeit-unaccompanied-xxxx-kwpclday,307.12890625,Cedar Walton (The Maybeck Recital Series Vol 25),i didnt know what time it was,solo,train
65,Brad Mehldau,pijama/mehldaub-myfavoritethingslive-unaccompanied-xxxx-e7jt4ocx,733.3697916666666,Brad Mehldau (10 Years Solo Live),my favorite things,solo,train
66,Thelonious Monk,pijama/monkt-ihadntanyonetillyoutake-unaccompanied-xxxx-le6s4s1u,199.98958333333331,Thelonious Monk (Solo Monk),i hadnt anyone till you,solo,train
67,Thelonious Monk,pijama/monkt-youtookthewordsrightout-unaccompanied-xxxx-4asdyadt,240.39973958333331,Thelonious Monk (Thelonious Alone In San Francisco),you took the words right out of my heart,solo,train
68,John Hicks,pijama/hicksj-solarrecordedliveinconcert-unaccompanied-xxxx-ulfvqcy2,525.44921875,John Hicks (I Remember You Recorded Live in Concert 2006),solar,solo,train
69,Abdullah Ibrahim,pijama/ibrahima-dustreprise-unaccompanied-xxxx-ytt4ml29,319.06901041666663,Abdullah Ibrahim (Senzo),dust,solo,train
70,Gene Harris,pijama/harrisg-myfunnyvalentineliveat-unaccompanied-xxxx-cnkmu2xp,389.29947916666663,Gene Harris (The Maybeck Recital Series Vol 23),my funny valentine,solo,train
71,Abdullah Ibrahim,pijama/ibrahima-pula-unaccompanied-xxxx-1vg3h1de,46.119791666666664,Abdullah Ibrahim (Solotude),pula,solo,train
72,Oscar Peterson,pijama/petersono-djangoremastered-unaccompanied-xxxx-ds74jokd,312.6809895833333,Oscar Peterson (Tracks Remastered),django,solo,train
73,McCoy Tyner,pijama/tynerm-lonnieslament-unaccompanied-xxxx-7fjmat38,358.38932291666663,McCoy Tyner (Soliloquy),lonnies lament,solo,train
74,Abdullah Ibrahim,pijama/ibrahima-dreamtime-unaccompanied-xxxx-0zlu58u9,152.5,Abdullah Ibrahim (Solotude),dreamtime,solo,train
75,Brad Mehldau,pijama/mehldaub-vi-unaccompanied-xxxx-wmay0seb,105.86848958333333,Brad Mehldau (Suite   April 2020),vi,solo,train
76,Abdullah Ibrahim,pijama/ibrahima-unfetteredmuken-unaccompanied-xxxx-wany2uqb,110.57942708333333,Abdullah Ibrahim (The Song Is My Story),unfettered muken,solo,train
77,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-rql0kv7k,68.61979166666666,Abdullah Ibrahim (Solotude),blues for a hip king,solo,train
78,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-0eh3quq3,287.5,Keith Jarrett (Paris  London Testament),pt,solo,train
79,Geri Allen,pijama/alleng-bemshaswing-unaccompanied-xxxx-d7c8bpdm,167.5625,Geri Allen (Home Grown),bemsha swing,solo,train
80,Junior Mance,pijama/mancej-igotitbadandthat-unaccompanied-xxxx-l2pl81m8,352.5,Junior Mance (Junior Mance Special),i got it bad,solo,train
81,Chick Corea,pijama/coreac-portrait1vilnius-unaccompanied-xxxx-5jkj57e0,158.359375,Chick Corea (Solo Piano   Portraits),portrait vilnius,solo,train
82,Abdullah Ibrahim,pijama/ibrahima-thewedding-unaccompanied-xxxx-2ybfj3hv,296.15885416666663,Abdullah Ibrahim (Solotude),the wedding,solo,train
83,Thelonious Monk,pijama/monkt-dinahtake2-unaccompanied-xxxx-vlltdigq,145.67317708333331,Thelonious Monk (Solo Monk),dinah,solo,train
84,Stanley Cowell,pijama/cowells-illrememberaprilliveat-unaccompanied-xxxx-scr8cssn,298.4192708333333,Stanley Cowell (The Maybeck Recital Series Vol 5),ill remember april,solo,train
85,Tommy Flanagan,pijama/flanagant-isntitromantic-unaccompanied-xxxx-ni9y5wer,213.53645833333331,Tommy Flanagan (Solo Piano),isnt it romantic,solo,train
86,John Hicks,pijama/hicksj-nuttyrecordedliveinconcert-unaccompanied-xxxx-4kw29xti,518.58984375,John Hicks (I Remember You Recorded Live in Concert 2006),nutty,solo,train
87,Abdullah Ibrahim,pijama/ibrahima-jabulani-unaccompanied-xxxx-s2xgouk0,69.07942708333333,Abdullah Ibrahim (Senzo),jabulani,solo,train
88,Chick Corea,pijama/coreac-duetcharleslive-unaccompanied-xxxx-gh58cbwe,184.68880208333331,Chick Corea (Plays),duet charles,solo,train
89,Oscar Peterson,pijama/petersono-gypsyinmysoul-unaccompanied-xxxx-55pr8aqz,178.48958333333331,Oscar Peterson (1951),gypsy in my soul,solo,train
90,Abdullah Ibrahim,pijama/ibrahima-africandawn-unaccompanied-xxxx-jmv6zr2p,34.859375,Abdullah Ibrahim (The Song Is My Story),african dawn,solo,train
91,John Hicks,pijama/hicksj-everytimewesaygoodbyerecorded-unaccompanied-xxxx-r9q1guek,407.83984375,John Hicks (I Remember You Recorded Live in Concert 2006),everytime we say goodbye,solo,train
92,Chick Corea,pijama/coreac-childrenssong12-unaccompanied-xxxx-2y5r8qel,342.5,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
93,Abdullah Ibrahim,pijama/ibrahima-machopi-unaccompanied-xxxx-5k6f4ehv,8.786458333333332,Abdullah Ibrahim (Dream Time),machopi,solo,train
94,Teddy Wilson,pijama/wilsont-tempopositioned-unaccompanied-xxxx-9oy9qg0y,135.13932291666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),tempo positioned,solo,train
95,Chick Corea,pijama/coreac-portrait1krakow-unaccompanied-xxxx-smkbo86z,140.33984375,Chick Corea (Solo Piano   Portraits),portrait krakow,solo,train
96,Oscar Peterson,pijama/petersono-placest-unaccompanied-xxxx-881lbe9v,111.609375,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),place st,solo,train
97,Hank Jones,pijama/jonesh-alonetogether-unaccompanied-xxxx-kq9fuk56,208.13151041666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),alone together,solo,train
98,Chick Corea,pijama/coreac-improv1howdeepis-unaccompanied-xxxx-1fpopnlq,508.9388020833333,Chick Corea (Solo Piano   Portraits),how deep is the ocean,solo,train
99,McCoy Tyner,pijama/tynerm-songformyladylive-unaccompanied-xxxx-h3g6eqgm,387.11979166666663,McCoy Tyner (Things Aint What They Used To Be Live),song for my lady,solo,train
100,Stanley Cowell,pijama/cowells-iamwaitingliveat-unaccompanied-xxxx-udngiup7,354.7161458333333,Stanley Cowell (The Maybeck Recital Series Vol 5),i am waiting,solo,train
101,Oscar Peterson,pijama/petersono-ifishouldloseyou-unaccompanied-xxxx-0zsyyw9t,316.5130208333333,Oscar Peterson (Tracks Remastered),if i should lose you,solo,train
102,Abdullah Ibrahim,pijama/ibrahima-thirdlinesamba-unaccompanied-xxxx-29d839q2,133.45963541666666,Abdullah Ibrahim (Senzo),third line samba,solo,train
103,Cedar Walton,pijama/waltonc-stellabystarlightliveat-unaccompanied-xxxx-f6keh2s7,351.4296875,Cedar Walton (The Maybeck Recital Series Vol 25),stella by starlight,solo,train
104,Brad Mehldau,pijama/mehldaub-monksmoodlive-unaccompanied-xxxx-3nxy3ksz,279.79947916666663,Brad Mehldau (10 Years Solo Live),monks mood,solo,train
105,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-hjtx4fi8,222.51953125,Chick Corea (Plays),childrens song,solo,train
106,Brad Mehldau,pijama/mehldaub-johnboylive-unaccompanied-xxxx-swwxkp4b,212.04947916666666,Brad Mehldau (10 Years Solo Live),john boy,solo,train
107,Abdullah Ibrahim,pijama/ibrahima-onceuponamidnight-unaccompanied-xxxx-qwglbzku,387.7734375,Abdullah Ibrahim (Solotude),once upon a midnight,solo,train
108,Chick Corea,pijama/coreac-bagatelle2-unaccompanied-xxxx-rv9ktp1k,207.5,Chick Corea (Solo Piano   Portraits),bagatelle,solo,train
109,Brad Mehldau,pijama/mehldaub-godonlyknowslive-unaccompanied-xxxx-947h2grd,1003.62890625,Brad Mehldau (10 Years Solo Live),god only knows,solo,train
110,Teddy Wilson,pijama/wilsont-sugar-unaccompanied-xxxx-6ito7etr,172.5,Teddy Wilson (Solo Piano  The Keystone Transriptions),sugar,solo,train
111,Stanley Cowell,pijama/cowells-lamentliveatmaybeckrecital-unaccompanied-xxxx-kuyghu20,272.46875,Stanley Cowell (The Maybeck Recital Series Vol 5),lament,solo,train
112,Hank Jones,pijama/jonesh-whatamiherefor-unaccompanied-xxxx-8a5bkfyn,217.27994791666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),what am i here for,solo,train
113,Brad Mehldau,pijama/mehldaub-stormlive-unaccompanied-xxxx-yzoveus7,269.6796875,Brad Mehldau (Live in Marciac),storm,solo,train
114,Teddy Wilson,pijama/wilsont-tuesdayjump-unaccompanied-xxxx-v62griki,144.21875,Teddy Wilson (Solo Piano  The Keystone Transriptions),tuesday jump,solo,train
115,Oscar Peterson,pijama/petersono-themanilove-unaccompanied-xxxx-ici83edm,159.4296875,Oscar Peterson (1951),the man i love,solo,train
116,Abdullah Ibrahim,pijama/ibrahima-threshold-unaccompanied-xxxx-h51vu9rw,187.5,Abdullah Ibrahim (The Song Is My Story),threshold,solo,train
117,Tommy Flanagan,pijama/flanagant-ifyoucouldseemenow-unaccompanied-xxxx-g9wqdvhs,202.86067708333331,Tommy Flanagan (Solo Piano),if you could see me now,solo,train
118,Brad Mehldau,pijama/mehldaub-teardroplive-unaccompanied-xxxx-4st4myro,853.4791666666666,Brad Mehldau (10 Years Solo Live),teardrop,solo,train
119,Chick Corea,pijama/coreac-trinkletinkleliveinberlin-unaccompanied-xxxx-5e9bjndz,145.96875,Chick Corea (Plays),trinkle tinkle,solo,train
120,Thelonious Monk,pijama/monkt-everythinghappenstomeretake1-unaccompanied-xxxx-zmp9tiig,316.37369791666663,Thelonious Monk (Solo Monk),everything happens to me,solo,train
121,Hank Jones,pijama/jonesh-bluemonkliveatmaybeck-unaccompanied-xxxx-f2ike104,283.8098958333333,Hank Jones (Live At Maybeck Recital Hall Vol 16),blue monk,solo,train
122,Brad Mehldau,pijama/mehldaub-secretlovelive-unaccompanied-xxxx-r2it9fug,432.54947916666663,Brad Mehldau (Live in Marciac),secret love,solo,train
123,Brad Mehldau,pijama/mehldaub-imoldfashionedlive-unaccompanied-xxxx-029qs3vt,322.5,Brad Mehldau (10 Years Solo Live),im old fashioned,solo,train
124,Chick Corea,pijama/coreac-yesterdaysliveinparis-unaccompanied-xxxx-i5qbl3s8,326.97916666666663,Chick Corea (Plays),yesterdays,solo,train
125,Stanley Cowell,pijama/cowells-softlyasinamorningsunrise-unaccompanied-xxxx-pj48uv6h,162.5,Stanley Cowell (The Maybeck Recital Series Vol 5),softly as in a morning sunrise,solo,train
126,Tommy Flanagan,pijama/flanagant-wail-unaccompanied-xxxx-40ur8u04,155.02994791666666,Tommy Flanagan (Solo Piano),i got rhythm,solo,train
127,Oscar Peterson,pijama/petersono-givemethesimplelife-unaccompanied-xxxx-83wt6mxc,236.06901041666666,Oscar Peterson (Tracks Remastered),give me the simple life,solo,train
128,Junior Mance,pijama/mancej-yanceyspecial-unaccompanied-xxxx-5zf7rp7t,312.4296875,Junior Mance (Junior Mance Special),yancey special,solo,train
129,Brad Mehldau,pijama/mehldaub-v-unaccompanied-xxxx-kh2xk8pl,215.47916666666666,Brad Mehldau (Suite   April 2020),v,solo,train
130,Thelonious Monk,pijama/monkt-sweetandlovelytake1-unaccompanied-xxxx-gsz3i0ac,194.55729166666666,Thelonious Monk (Solo Monk),sweet and lovely,solo,train
131,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-e0phax3x,552.5,Keith Jarrett (Paris  London Testament),pt,solo,train
132,Hank Jones,pijama/jonesh-sixfourliveat-unaccompanied-xxxx-c3d522vj,223.64973958333331,Hank Jones (Live At Maybeck Recital Hall Vol 16),six four,solo,train
133,Hank Jones,pijama/jonesh-bluesetteliveatmaybeckrecital-unaccompanied-xxxx-ske6c0fu,187.91927083333331,Hank Jones (Live At Maybeck Recital Hall Vol 16),bluesette,solo,train
134,Cedar Walton,pijama/waltonc-themaybeckbluesliveat-unaccompanied-xxxx-h324vz7q,233.79947916666666,Cedar Walton (The Maybeck Recital Series Vol 25),the maybeck blues,solo,train
135,Hank Jones,pijama/jonesh-thejitterbugwaltzinstrumental-unaccompanied-xxxx-q8wrraio,216.859375,Hank Jones (Handful Of Keys),jitterbug waltz,solo,train
136,Chick Corea,pijama/coreac-mozartpianosonatain-unaccompanied-xxxx-28xkew6f,259.9895833333333,Chick Corea (Plays),mozart piano sonata in f kv332 2nd part adagio,solo,train
137,Hank Jones,pijama/jonesh-keepingoutofmischiefnow-unaccompanied-xxxx-nj85rrj6,202.4296875,Hank Jones (Handful Of Keys),keepin out of mischief now,solo,train
138,Brad Mehldau,pijama/mehldaub-thingsbehindthesunlive-unaccompanied-xxxx-seykah5j,469.9895833333333,Brad Mehldau (Live in Marciac),things behind the sun,solo,train
139,Teddy Wilson,pijama/wilsont-sophisticatedlady-unaccompanied-xxxx-s9y05zx3,116.59895833333333,Teddy Wilson (Alone),sophisticated lady,solo,train
140,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-n0tidv4j,632.5,Keith Jarrett (Paris  London Testament),pt,solo,train
141,Chick Corea,pijama/coreac-childrenssong3-unaccompanied-xxxx-be1knaf7,70.91927083333333,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
142,Stanley Cowell,pijama/cowells-littlesunnyliveatmaybeck-unaccompanied-xxxx-9a6mjzcm,249.98958333333331,Stanley Cowell (The Maybeck Recital Series Vol 5),little sunny,solo,train
143,Chick Corea,pijama/coreac-portrait2casablanca-unaccompanied-xxxx-eewiosu3,89.71875,Chick Corea (Solo Piano   Portraits),portrait casablanca,solo,train
144,McCoy Tyner,pijama/tynerm-espanola-unaccompanied-xxxx-wujtslcm,235.82942708333331,McCoy Tyner (Soliloquy),espanola,solo,train
145,Chick Corea,pijama/coreac-waltzfordebby-unaccompanied-xxxx-fqjhpecd,499.10416666666663,Chick Corea (Solo Piano   Portraits),waltz for debby,solo,train
146,Hank Jones,pijama/jonesh-pleasedonttalkaboutmewhen-unaccompanied-xxxx-5wmnpx1x,168.51953125,Hank Jones (Handful Of Keys),please dont talk about me when im gone,solo,train
147,Chick Corea,pijama/coreac-prelude2op-unaccompanied-xxxx-bjf65isk,317.6796875,Chick Corea (Solo Piano   Portraits),prelude op,solo,train
148,Chick Corea,pijama/coreac-portrait2eastonmaryland-unaccompanied-xxxx-1fih9j8k,132.72916666666666,Chick Corea (Solo Piano   Portraits),portrait easton maryland,solo,train
149,Abdullah Ibrahim,pijama/ibrahima-pula-unaccompanied-xxxx-lrjaa8jo,92.86979166666666,Abdullah Ibrahim (Senzo),pula,solo,train
150,Cedar Walton,pijama/waltonc-sixthavenue-unaccompanied-xxxx-6c6slzt0,228.43229166666666,Cedar Walton (Blues For Myself Piano Solo),sixth avenue,solo,train
151,Brad Mehldau,pijama/mehldaub-lostchordslive-unaccompanied-xxxx-iao64lmi,563.2903645833333,Brad Mehldau (10 Years Solo Live),lost chords,solo,train
152,Hank Jones,pijama/jonesh-sophisticatedlady-unaccompanied-xxxx-uyqszqs3,154.31380208333331,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),sophisticated lady,solo,train
153,Oscar Peterson,pijama/petersono-oldfolks-unaccompanied-xxxx-a85xxvpg,210.46223958333331,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),old folks,solo,train
154,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-e946sx1w,482.5,Keith Jarrett (Paris  London Testament),pt,solo,train
155,Chick Corea,pijama/coreac-bagatelle1-unaccompanied-xxxx-a4byikwr,45.875,Chick Corea (Solo Piano   Portraits),bagatelle,solo,train
156,Abdullah Ibrahim,pijama/ibrahima-oceantheriver-unaccompanied-xxxx-rw7kc1or,83.25,Abdullah Ibrahim (Senzo),ocean the river,solo,train
157,Stanley Cowell,pijama/cowells-bigfoota-unaccompanied-xxxx-3z07zevj,208.64973958333331,Stanley Cowell (The Maybeck Recital Series Vol 5),big foot,solo,train
158,Teddy Wilson,pijama/wilsont-afternoonblues-unaccompanied-xxxx-q7ucr9rw,154.76953125,Teddy Wilson (Solo Piano  The Keystone Transriptions),afternoon blues,solo,train
159,Thelonious Monk,pijama/monkt-darnthatdream-unaccompanied-xxxx-2tqb55cb,217.71354166666666,Thelonious Monk (Solo Monk),darn that dream,solo,train
160,Hank Jones,pijama/jonesh-youfeetstoobiginstrumental-unaccompanied-xxxx-pf54rqiz,135.50390625,Hank Jones (Handful Of Keys),you feets too big,solo,train
161,Abdullah Ibrahim,pijama/ibrahima-aspen-unaccompanied-xxxx-uj2618bu,93.51953125,Abdullah Ibrahim (Dream Time),aspen,solo,train
162,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-m6it6rfv,797.5,Keith Jarrett (Paris  London Testament),pt,solo,train
