,pianist,track,duration,album,composition,setting,split
20,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-ot00k5a7,484.95963541666663,Abdullah Ibrahim (Dream Time),blues for a hip king,solo,train
21,Brad Mehldau,pijama/mehldaub-hollandlive-unaccompanied-xxxx-bmxdtzz5,666.0,Brad Mehldau (10 Years Solo Live),holland,solo,train
22,Chick Corea,pijama/coreac-childrenssong2-unaccompanied-xxxx-fs9zu0u9,46.694010416666664,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
23,Teddy Wilson,pijama/wilsont-atsundown-unaccompanied-xxxx-znl1k7uv,151.51953125,Teddy Wilson (Solo Piano  The Keystone Transriptions),at sundown,solo,train
24,Kenny Barron,pijama/barronk-misterioso-unaccompanied-xxxx-jfynjlxf,464.8359375,Kenny Barron (At The Piano),misterioso,solo,train
25,Brad Mehldau,pijama/mehldaub-newyorkstateofmind-unaccompanied-xxxx-yali5f0z,182.953125,Brad Mehldau (Suite   April 2020),new york state of mind,solo,train
26,Abdullah Ibrahim,pijama/ibrahima-sothoblue-unaccompanied-xxxx-ccvw5b07,219.98958333333331,Abdullah Ibrahim (Dream Time),sotho blue,solo,train
27,McCoy Tyner,pijama/tynerm-sweetandlovelyliveat-unaccompanied-xxxx-pgm3wukp,235.26953125,McCoy Tyner (Things Aint What They Used To Be Live),sweet and lovely,solo,train
28,Oscar Peterson,pijama/petersono-taketheatrainlive-unaccompanied-xxxx-wsnu3na0,156.515625,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),take the a train,solo,train
29,Teddy Wilson,pijama/wilsont-bodyandsoul-unaccompanied-xxxx-g4mg4vj5,279.9895833333333,Teddy Wilson (Alone),body and soul,solo,train
30,Brad Mehldau,pijama/mehldaub-myfavoritethingslive-unaccompanied-xxxx-shb08hyd,356.859375,Brad Mehldau (Live in Marciac),my favorite things,solo,train
31,Bill Evans,pijama/evansb-onacleardayyoucan-unaccompanied-xxxx-aqgg32qc,285.45963541666663,Bill Evans (Alone),on a clear day,solo,train
32,Chick Corea,pijama/coreac-thinkingofyoulive-unaccompanied-xxxx-uhh5vvu4,334.7109375,Chick Corea (Solo Piano   Standards),thinking of you,solo,train
33,Oscar Peterson,pijama/petersono-airmailspecial-unaccompanied-xxxx-xtaip7mq,109.15885416666666,Oscar Peterson (1951),i got rhythm,solo,train
34,Brad Mehldau,pijama/mehldaub-x-unaccompanied-xxxx-bpnhdowm,174.43880208333331,Brad Mehldau (Suite   April 2020),x,solo,train
35,Stanley Cowell,pijama/cowells-djangoliveatmaybeckrecital-unaccompanied-xxxx-wpmudba3,372.69010416666663,Stanley Cowell (The Maybeck Recital Series Vol 5),django,solo,train
36,Keith Jarrett,pijama/jarrettk-bemylove-unaccompanied-xxxx-momx9xt2,333.83984375,Keith Jarrett (The Melody At Night With You),be my love,solo,train
37,Abdullah Ibrahim,pijama/ibrahima-eclipseatdawn-unaccompanied-xxxx-cal9yv7p,118.93619791666666,Abdullah Ibrahim (The Song Is My Story),eclipse at dawn,solo,train
38,Geri Allen,pijama/alleng-flyingtowardthesound-unaccompanied-xxxx-vtcchokf,359.21875,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),flying toward the sound,solo,train
39,McCoy Tyner,pijama/tynerm-thingsaintwhattheyusedto-unaccompanied-xxxx-ifpioy0p,230.39973958333331,McCoy Tyner (Things Aint What They Used To Be Live),things aint what they used to be,solo,train
40,Thelonious Monk,pijama/monkt-theresdangerinyoureyescherie-unaccompanied-xxxx-ozuu13ii,258.94921875,Thelonious Monk (Thelonious Alone In San Francisco),theres danger in your eyes cherie,solo,train
41,Chick Corea,pijama/coreac-roundmidnight-unaccompanied-xxxx-kmywk6th,479.86979166666663,Chick Corea (Solo Piano   Portraits),round midnight,solo,train
42,Kenny Barron,pijama/barronk-imgettingsentimentaloveryou-unaccompanied-xxxx-gnhpp6nj,424.609375,Kenny Barron (Live At Maybeck Recital Hall Volume 10),im getting sentimental over you,solo,train
43,Geri Allen,pijama/alleng-dancingmysticpoetsatmidnight-unaccompanied-xxxx-3h5svr7o,259.0989583333333,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),dancing mystic poets at midnight,solo,train
44,Abdullah Ibrahim,pijama/ibrahima-blueboleroblueboleroi-unaccompanied-xxxx-4aigo4z0,162.5,Abdullah Ibrahim (Dream Time),blue bolero,solo,train
45,Teddy Wilson,pijama/wilsont-medley-unaccompanied-xxxx-baleeoro,218.94401041666666,Teddy Wilson (Marian McPartlands Piano Jazz Radio Broadcast),medley,solo,train
46,Tommy Flanagan,pijama/flanagant-rubymydear-unaccompanied-xxxx-mzmrfj9e,179.109375,Tommy Flanagan (Solo Piano),ruby my dear,solo,train
47,Chick Corea,pijama/coreac-childrenssong5-unaccompanied-xxxx-ecvpalwo,68.37630208333333,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
48,Cedar Walton,pijama/waltonc-littledarlin-unaccompanied-xxxx-a0c98c6x,322.0546875,Cedar Walton (Blues For Myself Piano Solo),lil darlin,solo,train
49,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-8hee4q93,668.5559895833333,Keith Jarrett (Paris  London Testament),pt,solo,train
50,John Hicks,pijama/hicksj-uppermanhattanmedicalgrouprecorded-unaccompanied-xxxx-zqxlnsp0,249.98958333333331,John Hicks (I Remember You Recorded Live in Concert 2006),upper manhattan medical group,solo,train
51,Oscar Peterson,pijama/petersono-nightandday-unaccompanied-xxxx-8y7ji9w1,218.52473958333331,Oscar Peterson (1951),night and day,solo,train
52,Geri Allen,pijama/alleng-roundmidnight-unaccompanied-xxxx-x8i9dmlu,367.6458333333333,Geri Allen (Home Grown),round midnight,solo,train
53,Cedar Walton,pijama/waltonc-ididntknowwhattimeit-unaccompanied-xxxx-kwpclday,307.12890625,Cedar Walton (The Maybeck Recital Series Vol 25),i didnt know what time it was,solo,train
54,Brad Mehldau,pijama/mehldaub-myfavoritethingslive-unaccompanied-xxxx-e7jt4ocx,733.3697916666666,Brad Mehldau (10 Years Solo Live),my favorite things,solo,train
55,Thelonious Monk,pijama/monkt-ihadntanyonetillyoutake-unaccompanied-xxxx-le6s4s1u,199.98958333333331,Thelonious Monk (Solo Monk),i hadnt anyone till you,solo,train
56,John Hicks,pijama/hicksj-reddsblues-unaccompanied-xxxx-b7buhfhv,249.47005208333331,John Hicks (Hicks Time),redds blues,solo,train
57,Abdullah Ibrahim,pijama/ibrahima-dustreprise-unaccompanied-xxxx-ytt4ml29,319.06901041666663,Abdullah Ibrahim (Senzo),dust,solo,train
58,Gene Harris,pijama/harrisg-myfunnyvalentineliveat-unaccompanied-xxxx-cnkmu2xp,389.29947916666663,Gene Harris (The Maybeck Recital Series Vol 23),my funny valentine,solo,train
59,Abdullah Ibrahim,pijama/ibrahima-pula-unaccompanied-xxxx-1vg3h1de,46.119791666666664,Abdullah Ibrahim (Solotude),pula,solo,train
60,Oscar Peterson,pijama/petersono-djangoremastered-unaccompanied-xxxx-ds74jokd,312.6809895833333,Oscar Peterson (Tracks Remastered),django,solo,train
61,Kenny Barron,pijama/barronk-andthenagainliveat-unaccompanied-xxxx-6hvv89zw,328.61979166666663,Kenny Barron (Live At Maybeck Recital Hall Volume 10),and then again,solo,train
62,John Hicks,pijama/hicksj-steadfast-unaccompanied-xxxx-7b11cgbz,404.9114583333333,John Hicks (Hicks Time),steadfast,solo,train
63,Kenny Barron,pijama/barronk-budlike-unaccompanied-xxxx-smkfooir,360.8645833333333,Kenny Barron (At The Piano),budlike,solo,train
64,McCoy Tyner,pijama/tynerm-lonnieslament-unaccompanied-xxxx-7fjmat38,358.38932291666663,McCoy Tyner (Soliloquy),lonnies lament,solo,train
65,Abdullah Ibrahim,pijama/ibrahima-dreamtime-unaccompanied-xxxx-0zlu58u9,152.5,Abdullah Ibrahim (Solotude),dreamtime,solo,train
66,Brad Mehldau,pijama/mehldaub-vi-unaccompanied-xxxx-wmay0seb,105.86848958333333,Brad Mehldau (Suite   April 2020),vi,solo,train
67,Abdullah Ibrahim,pijama/ibrahima-bluesforahipking-unaccompanied-xxxx-rql0kv7k,68.61979166666666,Abdullah Ibrahim (Solotude),blues for a hip king,solo,train
68,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-0eh3quq3,287.5,Keith Jarrett (Paris  London Testament),pt,solo,train
69,Geri Allen,pijama/alleng-bemshaswing-unaccompanied-xxxx-d7c8bpdm,167.5625,Geri Allen (Home Grown),bemsha swing,solo,train
70,Junior Mance,pijama/mancej-igotitbadandthat-unaccompanied-xxxx-l2pl81m8,352.5,Junior Mance (Junior Mance Special),i got it bad,solo,train
71,Chick Corea,pijama/coreac-portrait1vilnius-unaccompanied-xxxx-5jkj57e0,158.359375,Chick Corea (Solo Piano   Portraits),portrait vilnius,solo,train
72,Abdullah Ibrahim,pijama/ibrahima-thewedding-unaccompanied-xxxx-2ybfj3hv,296.15885416666663,Abdullah Ibrahim (Solotude),the wedding,solo,train
73,Thelonious Monk,pijama/monkt-dinahtake2-unaccompanied-xxxx-vlltdigq,145.67317708333331,Thelonious Monk (Solo Monk),dinah,solo,train
74,Stanley Cowell,pijama/cowells-illrememberaprilliveat-unaccompanied-xxxx-scr8cssn,298.4192708333333,Stanley Cowell (The Maybeck Recital Series Vol 5),ill remember april,solo,train
75,Stanley Cowell,pijama/cowells-akua-unaccompanied-xxxx-hjb4poiv,405.71875,Stanley Cowell (Angel Eyes),akua,solo,train
76,John Hicks,pijama/hicksj-nuttyrecordedliveinconcert-unaccompanied-xxxx-4kw29xti,518.58984375,John Hicks (I Remember You Recorded Live in Concert 2006),nutty,solo,train
77,Abdullah Ibrahim,pijama/ibrahima-jabulani-unaccompanied-xxxx-s2xgouk0,69.07942708333333,Abdullah Ibrahim (Senzo),jabulani,solo,train
78,Chick Corea,pijama/coreac-duetcharleslive-unaccompanied-xxxx-gh58cbwe,184.68880208333331,Chick Corea (Plays),duet charles,solo,train
79,Oscar Peterson,pijama/petersono-gypsyinmysoul-unaccompanied-xxxx-55pr8aqz,178.48958333333331,Oscar Peterson (1951),gypsy in my soul,solo,train
80,Abdullah Ibrahim,pijama/ibrahima-africandawn-unaccompanied-xxxx-jmv6zr2p,34.859375,Abdullah Ibrahim (The Song Is My Story),african dawn,solo,train
81,John Hicks,pijama/hicksj-everytimewesaygoodbyerecorded-unaccompanied-xxxx-r9q1guek,407.83984375,John Hicks (I Remember You Recorded Live in Concert 2006),everytime we say goodbye,solo,train
82,Kenny Barron,pijama/barronk-budlikeliveatmaybeckrecital-unaccompanied-xxxx-mkhwqz3b,339.9895833333333,Kenny Barron (Live At Maybeck Recital Hall Volume 10),budlike,solo,train
83,Chick Corea,pijama/coreac-childrenssong12-unaccompanied-xxxx-2y5r8qel,342.5,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
84,Abdullah Ibrahim,pijama/ibrahima-machopi-unaccompanied-xxxx-5k6f4ehv,8.786458333333332,Abdullah Ibrahim (Dream Time),machopi,solo,train
85,Teddy Wilson,pijama/wilsont-tempopositioned-unaccompanied-xxxx-9oy9qg0y,135.13932291666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),tempo positioned,solo,train
86,Chick Corea,pijama/coreac-portrait1krakow-unaccompanied-xxxx-smkbo86z,140.33984375,Chick Corea (Solo Piano   Portraits),portrait krakow,solo,train
87,Hank Jones,pijama/jonesh-alonetogether-unaccompanied-xxxx-kq9fuk56,208.13151041666666,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),alone together,solo,train
88,Chick Corea,pijama/coreac-improv1howdeepis-unaccompanied-xxxx-1fpopnlq,508.9388020833333,Chick Corea (Solo Piano   Portraits),how deep is the ocean,solo,train
89,Oscar Peterson,pijama/petersono-byebyeblackbirdlive-unaccompanied-xxxx-4srhkrg8,290.41666666666663,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),bye bye blackbird,solo,train
90,Oscar Peterson,pijama/petersono-sweetgeorgiabrownlive-unaccompanied-xxxx-ka2uct36,271.20963541666663,Oscar Peterson (Solo),sweet georgia brown,solo,train
91,McCoy Tyner,pijama/tynerm-songformyladylive-unaccompanied-xxxx-h3g6eqgm,387.11979166666663,McCoy Tyner (Things Aint What They Used To Be Live),song for my lady,solo,train
92,Stanley Cowell,pijama/cowells-iamwaitingliveat-unaccompanied-xxxx-udngiup7,354.7161458333333,Stanley Cowell (The Maybeck Recital Series Vol 5),i am waiting,solo,train
93,Oscar Peterson,pijama/petersono-ifishouldloseyou-unaccompanied-xxxx-0zsyyw9t,316.5130208333333,Oscar Peterson (Tracks Remastered),if i should lose you,solo,train
94,Abdullah Ibrahim,pijama/ibrahima-thirdlinesamba-unaccompanied-xxxx-29d839q2,133.45963541666666,Abdullah Ibrahim (Senzo),third line samba,solo,train
95,Kenny Barron,pijama/barronk-balladforbennycarter-unaccompanied-xxxx-cdqrbphs,532.5,Kenny Barron (Oscar With Love   The Songs of Oscar Peterson),ballad for benny carter,solo,train
96,Ahmad Jamal,pijama/jamala-marseille-unaccompanied-xxxx-x8heik4t,290.9231770833333,Ahmad Jamal (Ballades),marseille,solo,train
97,Cedar Walton,pijama/waltonc-stellabystarlightliveat-unaccompanied-xxxx-f6keh2s7,351.4296875,Cedar Walton (The Maybeck Recital Series Vol 25),stella by starlight,solo,train
98,Brad Mehldau,pijama/mehldaub-monksmoodlive-unaccompanied-xxxx-3nxy3ksz,279.79947916666663,Brad Mehldau (10 Years Solo Live),monks mood,solo,train
99,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-hjtx4fi8,222.51953125,Chick Corea (Plays),childrens song,solo,train
100,Brad Mehldau,pijama/mehldaub-johnboylive-unaccompanied-xxxx-swwxkp4b,212.04947916666666,Brad Mehldau (10 Years Solo Live),john boy,solo,train
101,Geri Allen,pijama/alleng-redvelvetinwinter-unaccompanied-xxxx-lwgiwjp3,351.1731770833333,Geri Allen (Flying Toward the Sound A Solo Piano Excursion Inspired by Cecil Taylor Mccoy Tyner and Herbie Hancock),red velvet in winter,solo,train
102,Abdullah Ibrahim,pijama/ibrahima-onceuponamidnight-unaccompanied-xxxx-qwglbzku,387.7734375,Abdullah Ibrahim (Solotude),once upon a midnight,solo,train
103,Chick Corea,pijama/coreac-bagatelle2-unaccompanied-xxxx-rv9ktp1k,207.5,Chick Corea (Solo Piano   Portraits),bagatelle,solo,train
104,Brad Mehldau,pijama/mehldaub-godonlyknowslive-unaccompanied-xxxx-947h2grd,1003.62890625,Brad Mehldau (10 Years Solo Live),god only knows,solo,train
105,Cedar Walton,pijama/waltonc-sophisticatedlady-unaccompanied-xxxx-0l2jozo8,343.26953125,Cedar Walton (Underground Memoirs),sophisticated lady,solo,train
106,Teddy Wilson,pijama/wilsont-sugar-unaccompanied-xxxx-6ito7etr,172.5,Teddy Wilson (Solo Piano  The Keystone Transriptions),sugar,solo,train
107,Cedar Walton,pijama/waltonc-somedaymyprincewillcome-unaccompanied-xxxx-tv5sspsa,276.8489583333333,Cedar Walton (Underground Memoirs),someday my prince will come,solo,train
108,Kenny Barron,pijama/barronk-bodyandsoul-unaccompanied-xxxx-p5g8xdd1,417.51171875,Kenny Barron (At The Piano),body and soul,solo,train
109,Tommy Flanagan,pijama/flanagant-ifyoucouldseemenow-unaccompanied-xxxx-g9wqdvhs,202.86067708333331,Tommy Flanagan (Solo Piano),if you could see me now,solo,train
110,Oscar Peterson,pijama/petersono-perdidolive-unaccompanied-xxxx-8im5k4c3,370.61979166666663,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),perdido,solo,train
111,Thelonious Monk,pijama/monkt-everythinghappenstomeretake1-unaccompanied-xxxx-zmp9tiig,316.37369791666663,Thelonious Monk (Solo Monk),everything happens to me,solo,train
112,Hank Jones,pijama/jonesh-bluemonkliveatmaybeck-unaccompanied-xxxx-f2ike104,283.8098958333333,Hank Jones (Live At Maybeck Recital Hall Vol 16),blue monk,solo,train
113,Brad Mehldau,pijama/mehldaub-imoldfashionedlive-unaccompanied-xxxx-029qs3vt,322.5,Brad Mehldau (10 Years Solo Live),im old fashioned,solo,train
114,Chick Corea,pijama/coreac-yesterdaysliveinparis-unaccompanied-xxxx-i5qbl3s8,326.97916666666663,Chick Corea (Plays),yesterdays,solo,train
115,Tommy Flanagan,pijama/flanagant-wail-unaccompanied-xxxx-40ur8u04,155.02994791666666,Tommy Flanagan (Solo Piano),i got rhythm,solo,train
116,Oscar Peterson,pijama/petersono-givemethesimplelife-unaccompanied-xxxx-83wt6mxc,236.06901041666666,Oscar Peterson (Tracks Remastered),give me the simple life,solo,train
117,Ahmad Jamal,pijama/jamala-landofdreams-unaccompanied-xxxx-wsetipx7,135.47916666666666,Ahmad Jamal (Ballades),land of dreams,solo,train
118,Brad Mehldau,pijama/mehldaub-v-unaccompanied-xxxx-kh2xk8pl,215.47916666666666,Brad Mehldau (Suite   April 2020),v,solo,train
119,Abdullah Ibrahim,pijama/ibrahima-didyouhearthatsound-unaccompanied-xxxx-av2ul4bo,321.67447916666663,Abdullah Ibrahim (Did You Hear That Sound),did you hear that sound,solo,train
120,Thelonious Monk,pijama/monkt-sweetandlovelytake1-unaccompanied-xxxx-gsz3i0ac,194.55729166666666,Thelonious Monk (Solo Monk),sweet and lovely,solo,train
121,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-e0phax3x,552.5,Keith Jarrett (Paris  London Testament),pt,solo,train
122,Hank Jones,pijama/jonesh-sixfourliveat-unaccompanied-xxxx-c3d522vj,223.64973958333331,Hank Jones (Live At Maybeck Recital Hall Vol 16),six four,solo,train
123,Hank Jones,pijama/jonesh-bluesetteliveatmaybeckrecital-unaccompanied-xxxx-ske6c0fu,187.91927083333331,Hank Jones (Live At Maybeck Recital Hall Vol 16),bluesette,solo,train
124,Teddy Wilson,pijama/wilsont-stompinatthesavoy-unaccompanied-xxxx-cgfwx295,128.29947916666666,Teddy Wilson (Marian McPartlands Piano Jazz Radio Broadcast),stompin at the savoy,solo,train
125,Cedar Walton,pijama/waltonc-themaybeckbluesliveat-unaccompanied-xxxx-h324vz7q,233.79947916666666,Cedar Walton (The Maybeck Recital Series Vol 25),the maybeck blues,solo,train
126,Oscar Peterson,pijama/petersono-someonetowatchoverme-unaccompanied-xxxx-607wdrey,251.94921875,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),someone to watch over me,solo,train
127,Hank Jones,pijama/jonesh-thejitterbugwaltzinstrumental-unaccompanied-xxxx-q8wrraio,216.859375,Hank Jones (Handful Of Keys),jitterbug waltz,solo,train
128,Brad Mehldau,pijama/mehldaub-paranoidandroid-unaccompanied-xxxx-bcembqll,1152.5,Brad Mehldau (Live in Tokyo),paranoid android,solo,train
129,Brad Mehldau,pijama/mehldaub-thingsbehindthesunlive-unaccompanied-xxxx-seykah5j,469.9895833333333,Brad Mehldau (Live in Marciac),things behind the sun,solo,train
130,Teddy Wilson,pijama/wilsont-sophisticatedlady-unaccompanied-xxxx-s9y05zx3,116.59895833333333,Teddy Wilson (Alone),sophisticated lady,solo,train
131,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-n0tidv4j,632.5,Keith Jarrett (Paris  London Testament),pt,solo,train
132,Chick Corea,pijama/coreac-childrenssong3-unaccompanied-xxxx-be1knaf7,70.91927083333333,Chick Corea (Solo Piano   Portraits),childrens song,solo,train
133,Stanley Cowell,pijama/cowells-littlesunnyliveatmaybeck-unaccompanied-xxxx-9a6mjzcm,249.98958333333331,Stanley Cowell (The Maybeck Recital Series Vol 5),little sunny,solo,train
134,Chick Corea,pijama/coreac-portrait2casablanca-unaccompanied-xxxx-eewiosu3,89.71875,Chick Corea (Solo Piano   Portraits),portrait casablanca,solo,train
135,Chick Corea,pijama/coreac-waltzfordebby-unaccompanied-xxxx-fqjhpecd,499.10416666666663,Chick Corea (Solo Piano   Portraits),waltz for debby,solo,train
136,Chick Corea,pijama/coreac-prelude2op-unaccompanied-xxxx-bjf65isk,317.6796875,Chick Corea (Solo Piano   Portraits),prelude op,solo,train
137,Chick Corea,pijama/coreac-portrait2eastonmaryland-unaccompanied-xxxx-1fih9j8k,132.72916666666666,Chick Corea (Solo Piano   Portraits),portrait easton maryland,solo,train
138,Abdullah Ibrahim,pijama/ibrahima-pula-unaccompanied-xxxx-lrjaa8jo,92.86979166666666,Abdullah Ibrahim (Senzo),pula,solo,train
139,Cedar Walton,pijama/waltonc-sixthavenue-unaccompanied-xxxx-6c6slzt0,228.43229166666666,Cedar Walton (Blues For Myself Piano Solo),sixth avenue,solo,train
140,Hank Jones,pijama/jonesh-sophisticatedlady-unaccompanied-xxxx-uyqszqs3,154.31380208333331,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),sophisticated lady,solo,train
141,John Hicks,pijama/hicksj-blueingreenliveat-unaccompanied-xxxx-8387ai0w,343.58984375,John Hicks (The Maybeck Recital Series Vol 7),blue in green,solo,train
142,Stanley Cowell,pijama/cowells-morningstar-unaccompanied-xxxx-676wafzv,367.9388020833333,Stanley Cowell (Angel Eyes),morning star,solo,train
143,Oscar Peterson,pijama/petersono-oldfolks-unaccompanied-xxxx-a85xxvpg,210.46223958333331,Oscar Peterson (Marian McPartlands Piano Jazz Radio Broadcast),old folks,solo,train
144,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-e946sx1w,482.5,Keith Jarrett (Paris  London Testament),pt,solo,train
145,Chick Corea,pijama/coreac-bagatelle1-unaccompanied-xxxx-a4byikwr,45.875,Chick Corea (Solo Piano   Portraits),bagatelle,solo,train
146,Abdullah Ibrahim,pijama/ibrahima-oceantheriver-unaccompanied-xxxx-rw7kc1or,83.25,Abdullah Ibrahim (Senzo),ocean the river,solo,train
147,Teddy Wilson,pijama/wilsont-afternoonblues-unaccompanied-xxxx-q7ucr9rw,154.76953125,Teddy Wilson (Solo Piano  The Keystone Transriptions),afternoon blues,solo,train
148,Thelonious Monk,pijama/monkt-darnthatdream-unaccompanied-xxxx-2tqb55cb,217.71354166666666,Thelonious Monk (Solo Monk),darn that dream,solo,train
149,Hank Jones,pijama/jonesh-youfeetstoobiginstrumental-unaccompanied-xxxx-pf54rqiz,135.50390625,Hank Jones (Handful Of Keys),you feets too big,solo,train
150,Abdullah Ibrahim,pijama/ibrahima-aspen-unaccompanied-xxxx-uj2618bu,93.51953125,Abdullah Ibrahim (Dream Time),aspen,solo,train
151,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-m6it6rfv,797.5,Keith Jarrett (Paris  London Testament),pt,solo,train
152,Abdullah Ibrahim,pijama/ibrahima-whatreallyhappenedinthecornfields-unaccompanied-xxxx-x0bfdc8l,399.27994791666663,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),what really happened in the cornfields is that the birds made music all the day and so i let a song go out of my heart at dukes place,solo,train
153,Oscar Peterson,pijama/petersono-roseroom-unaccompanied-xxxx-dus9xe0v,129.08984375,Oscar Peterson (1951),rose room,solo,train
154,John Hicks,pijama/hicksj-aprileyes-unaccompanied-xxxx-ds5qqdme,474.1770833333333,John Hicks (Hicks Time),april eyes,solo,train
155,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-d91gqizj,539.4557291666666,Keith Jarrett (Paris  London Testament),pt,solo,train
156,Chick Corea,pijama/coreac-desafinadoliveinberlin-unaccompanied-xxxx-2h0p2v1x,279.4296875,Chick Corea (Plays),desafinado,solo,train
157,Hank Jones,pijama/jonesh-theverythoughtofyou-unaccompanied-xxxx-se7iztbu,282.13932291666663,Hank Jones (Live At Maybeck Recital Hall Vol 16),the very thought of you,solo,train
158,Abdullah Ibrahim,pijama/ibrahima-impressionsonacaravan-unaccompanied-xxxx-grx9t17x,312.5,Abdullah Ibrahim (Ode to Duke Ellington At Dukes Place),impressions on a caravan,solo,train
159,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-28ioyw2c,392.5,Keith Jarrett (Paris  London Testament),pt,solo,train
160,Kenny Barron,pijama/barronk-thestarcrossedlovers-unaccompanied-xxxx-crc0z8sh,519.4596354166666,Kenny Barron (At The Piano),the starcrossed lovers,solo,train
